Date-Time,".NSEBANK,Cndl,Open",".NSEBANK,Cndl,High",".NSEBANK,Cndl,Low",".NSEBANK,Cndl,Close",".NSEBANK,EMA,Trade Price",".NSEBANK,OBV,Trade Price",".NSEBANK,RSI,Trade Price",".NSEBANK,MACD,MACD",".NSEBANK,MACD,MACD Signal Line",".NSEBANK,Vol,Trade Price"
24-01-2020,31040.1,31375.45,30879.05,31241.75,31439.49456,17047600000000,44.58593452,-183.4881247,-61.28817295,424623000000
23-01-2020,30742.2,31087.25,30621.35,31004.05,31469.9168,16622900000000,40.27466772,-183.2047871,-30.738185,343818000000
22-01-2020,31061.6,31149.05,30614,30701.45,31541.58862,16279100000000,34.22547125,-155.9761665,7.378465517,200582000000
21-01-2020,30978.85,31171.25,30858.6,30947.55,31670.84071,16479700000000,37.06015315,-88.14361927,48.21712352,227481000000
20-01-2020,31923.95,31923.95,31050.95,31080.65,31782.11621,16707200000000,38.66855513,-25.33998816,82.30730922,282226000000
17-01-2020,31571.65,31773.55,31445.5,31590.65,31890.03409,16989400000000,45.7300472,41.63686447,109.2191336,308137000000
16-01-2020,31810.55,31988.9,31692.4,31853.9,31936.09318,17297500000000,50.1167139,74.5907838,126.1147008,253716000000
15-01-2020,31994.75,32000.9,31670.35,31824.9,31948.73828,17043800000000,49.62238555,88.76337488,138.9956801,545709000000
14-01-2020,32196.45,32196.45,31989.2,32071.65,31967.79033,17589500000000,53.83761015,108.5143784,151.5537564,438912000000
13-01-2020,32139.1,32322.65,32074.05,32177.65,31951.81192,18028400000000,55.7258799,107.0218138,162.3136009,291442000000
10-01-2020,32215.7,32347.2,31953.4,32097.4,31917.06759,17737000000000,54.60663497,92.76735037,176.1365477,444710000000
09-01-2020,31748.25,32172.7,31667.15,32092.4,31889.32415,17292300000000,54.54014694,81.39503742,196.978847,307977000000
08-01-2020,30995.5,31451.85,30899.55,31373.65,31858.08171,16984300000000,43.49216478,66.2049938,225.8747994,304485000000
07-01-2020,31598.05,31851.45,31200.9,31399.4,31932.60966,17288800000000,43.84665652,119.0358109,265.7922508,294368000000
06-01-2020,31910.45,31914.45,31170.55,31237.15,32014.64192,16994400000000,41.03466065,182.1138967,302.4813608,256237000000
03-01-2020,32326.95,32329.8,31960.4,32069.25,32134.25606,17250700000000,53.88494098,276.4955421,332.5732268,217584000000
02-01-2020,32133.15,32465.45,32121.4,32443.85,32144.25699,17468300000000,62.00149072,308.2161799,346.592648,253559000000
01-01-2020,32237.9,32348,32057.2,32102.9,32098.16576,17214700000000,56.45847782,306.0790131,356.186765,184672000000
31-12-2019,32345.95,32345.95,32108.75,32161.65,32097.43742,17399400000000,57.80774467,333.6140619,368.7137029,251409000000
30-12-2019,32486.6,32613.1,32248.5,32354.9,32087.55856,17650800000000,62.35971874,357.9244105,377.4886132,274051000000
27-12-2019,32142.5,32444.85,32056.25,32412.35,32046.42911,17924800000000,63.74535143,364.0707186,382.3796639,332429000000
26-12-2019,32276.15,32314.6,31963.25,31997.7,31990.13358,17592400000000,57.40163337,360.7706141,386.9569002,339790000000
24-12-2019,32337.8,32390.35,32246.05,32280.75,31988.96952,17932200000000,64.56234669,393.5298173,393.5034717,330830000000
23-12-2019,32381,32502.8,32196.85,32339.45,31944.08021,18263000000000,66.15148574,400.7987665,393.4968853,391458000000
20-12-2019,32266.85,32443.35,32199.45,32384.95,31883.25409,18654500000000,67.34457747,398.2700614,391.671415,535239000000
19-12-2019,32281.65,32328.35,32085.05,32241.45,31806.07011,18119200000000,65.52356727,384.6167679,390.0217534,436934000000
18-12-2019,32292.25,32293.65,32017.3,32244.25,31739.08859,18556200000000,65.58983698,376.2066839,391.3729998,258844000000
17-12-2019,32082.4,32213.35,31987.35,32140.25,31661.37145,18297300000000,64.34613961,359.7151704,395.1645788,259934000000
16-12-2019,32159,32186.95,31897.75,31974.2,31587.69782,18037400000000,62.3274288,344.0228725,404.0269309,306021000000
13-12-2019,31775.55,32105.05,31770.5,32014.25,31528.23595,18343400000000,63.12794133,335.8967342,419.0279454,390513000000
12-12-2019,31356.8,31711.45,31352.1,31665.45,31453.46456,17952900000000,58.85424973,316.5612378,439.8107483,529687000000
11-12-2019,31151.65,31337.85,30996.4,31256.75,31420.85141,17423200000000,52.91656069,322.791768,470.6231259,815353000000
10-12-2019,31386.4,31412.8,31126,31160.35,31446.09778,16607900000000,51.37983407,367.6621282,507.5809653,505391000000
09-12-2019,31321.4,31537.65,31122.05,31316.65,31490.05898,17113300000000,54.03505905,429.4004842,542.5606746,494482000000
06-12-2019,31797.15,31883.7,31250.65,31341.55,31516.73728,17607700000000,54.45132682,486.0410697,570.8507223,485387000000
05-12-2019,32083.8,32126.95,31628.3,31712.95,31543.68917,18093100000000,60.95509464,548.7300924,592.0531354,393275000000
04-12-2019,31549.3,32017.75,31444,31979.3,31517.64905,18486400000000,66.22238814,582.94728,602.8838962,516797000000
03-12-2019,31920.1,31936.6,31502.95,31613.35,31446.62582,17969600000000,62.03714447,591.0223482,607.8680502,431512000000
02-12-2019,32008.3,32024.1,31720.6,31871.45,31420.97595,18401100000000,67.5158659,629.9927464,612.0794757,495997000000
29-11-2019,32074.15,32086.95,31770.8,31946.1,31351.67225,18897100000000,69.1561356,644.2903421,607.601158,667784000000
28-11-2019,31981.7,32157.05,31905.9,32122.95,31260.22183,19564900000000,73.06080663,645.5670501,598.428862,498305000000
27-11-2019,31832.75,31916.8,31734.5,31875.95,31127.49441,19066600000000,70.93231797,619.7999822,586.6443149,417570000000
26-11-2019,31692.85,31850.35,31465.85,31718.35,31012.3474,18649000000000,69.50476128,603.0456521,578.3553981,856690000000
25-11-2019,31065.1,31591.6,31049.75,31555.9,30903.73162,17792300000000,68.00056651,588.9360068,572.1828346,317310000000
22-11-2019,31389.6,31394.2,31055.2,31111.6,30803.39802,17475000000000,63.4179684,578.9009903,567.9945415,257773000000
21-11-2019,31413.25,31463.15,31243,31349.95,30755.98233,17732800000000,68.28964555,602.9101003,565.2679293,296148000000
20-11-2019,31292.35,31471.65,31205.55,31353.85,30664.60269,18028900000000,68.36944373,600.5164901,555.8573866,418998000000
19-11-2019,31045.15,31298.05,30974.3,31236.25,30558.56464,17609900000000,67.29952645,588.3294969,544.6926107,429947000000
18-11-2019,31036.8,31203.55,30901.85,30992.1,30454.30535,17180000000000,65.01840895,576.1907602,533.7833892,331730000000
15-11-2019,30912.4,31165.45,30860.7,31008.4,30371.56772,17511700000000,65.30080482,577.1752706,523.1815464,393947000000
14-11-2019,30615.8,30789.2,30338.35,30749.95,30273.59352,17117800000000,62.93027388,568.3769509,509.6831154,383307000000
13-11-2019,31084.75,31198.5,30488.1,30541.55,30200.30791,16734500000000,60.93185991,575.1947036,495.0096565,474514000000
11-11-2019,30664.65,31205.2,30625.8,31115.55,30147.80912,17209000000000,70.67662507,596.7490758,474.9633947,422778000000
08-11-2019,30571.3,31108.4,30504.05,30749.4,29998.92591,16786200000000,67.60813003,557.1366698,444.5169744,620047000000
07-11-2019,30722.6,30821.35,30462.55,30633.15,29883.46836,16166200000000,66.57701787,535.7537564,416.3620506,364819000000
06-11-2019,30225.2,30699,30013.65,30609.6,29768.13272,15801300000000,66.37567478,512.504965,386.5141241,403958000000
05-11-2019,30403.25,30452.7,30091.35,30219.85,29638.67622,15397400000000,62.94526696,477.7742536,355.0164139,534712000000
04-11-2019,30415.9,30607.05,30227.25,30333.1,29549.26486,15932100000000,64.72701023,466.1794292,324.326954,613019000000
01-11-2019,30196.15,30409,30028.9,30330.55,29428.67484,15319100000000,64.70612214,433.0685161,288.8638352,646746000000
31-10-2019,30168.65,30415.65,29987.15,30066.25,29289.92482,14672300000000,62.57301025,384.7674087,252.812665,1186430000000
30-10-2019,30005.7,30151.1,29753,29987.5,29170.49018,13485900000000,61.93652043,344.4315601,219.8239791,448803000000
29-10-2019,29527.6,29997.65,29385.45,29873.05,29044.79636,13037100000000,61.04243521,295.956618,188.6720839,567556000000
25-10-2019,29228.65,29452.1,28923.8,29395.95,28917.37272,12469500000000,57.14596771,241.433232,161.8509503,632216000000
24-10-2019,29604.35,29693.25,28994.2,29107.95,28843.74545,11837300000000,54.6007414,216.9072633,141.9553799,439981000000
23-10-2019,29478.85,29643.8,29214.05,29459.6,28803.09859,12277300000000,58.54298079,211.7718302,123.217409,497766000000
22-10-2019,29416.25,29690,29231.2,29411.15,28702.09837,11779500000000,58.15646136,166.332469,101.0788038,582221000000
18-10-2019,28954.8,29249.5,28864.1,29120.25,28593.01351,11197300000000,55.86216483,110.8490303,84.76538745,605170000000
17-10-2019,28596.35,29049.05,28487.95,28989.45,28511.9002,10592100000000,54.82804865,68.0385462,78.24447675,617850000000
16-10-2019,28689.45,28759.35,28305.4,28538.8,28438.431,9974290000000,51.1677913,25.72496769,80.79595939,400384000000
15-10-2019,28257.85,28694.85,28186.25,28555.1,28422.98962,10374700000000,51.30742381,17.22763704,94.56370731,350926000000
14-10-2019,28238.5,28553.4,28043.25,28181.95,28402.66494,10023800000000,48.30883195,4.471733018,113.8977249,387661000000
11-10-2019,28245.55,28604.05,27736.8,28042.5,28436.62109,9636090000000,47.18006879,26.11897213,141.2542228,558917000000
10-10-2019,28542.95,28552.75,27914.15,28013.45,28497.2551,9077170000000,46.95600813,67.5673541,170.0380355,381151000000
09-10-2019,27901.65,28857.7,27702.05,28785.85,28571.68666,9458320000000,52.44910573,122.4455819,195.6557059,574833000000
07-10-2019,27909.9,28185.15,27568.35,27767.55,28538.73845,8883490000000,44.50107553,112.0647661,213.9582369,554307000000
04-10-2019,28681.9,28730.3,27653.7,27731.85,28657.38283,8329180000000,44.19743287,200.8664918,239.4316046,732719000000
03-10-2019,28606.7,28769.1,28240.8,28414.1,28799.77249,9061900000000,48.94991881,314.923,249.0728828,825757000000
01-10-2019,29226.15,29526.4,28077.35,28725.5,28859.10672,9887660000000,51.28726881,386.4544268,232.6103534,1187310000000
30-09-2019,29674.8,29754.4,28943.45,29103.15,28879.66161,11075000000000,54.20182109,440.4272018,194.1493351,580252000000
27-09-2019,29974.95,30112.65,29711.35,29876.65,28845.27878,11655200000000,60.76987596,464.4582389,132.5798684,464096000000
26-09-2019,29640.55,30718.35,29627,30002.6,28686.60628,12119300000000,61.90409103,409.618461,49.61027577,540435000000
25-09-2019,30029.05,30067.6,29470.1,29586.05,28484.14571,11578900000000,59.58773937,320.8408759,-40.39177054,352814000000
24-09-2019,30432,30668.1,29889.55,30183.1,28314.62197,11931700000000,64.83449933,245.2739819,-130.6999322,348810000000
